Time	Y	YDOT	YDOUBLEDOT	NC	LOS	LOSdot
0.0002,	0.209421,	1047.1,	-465.39,	465.39,	5.81724e-06,	0.0290868
0.0004,	0.418823,	1047.01,	-465.369,	465.369,	1.16342e-05,	0.0290856
0.0006,	0.628207,	1046.92,	-465.348,	465.348,	1.74509e-05,	0.0290843
0.0008,	0.837572,	1046.83,	-465.328,	465.328,	2.32674e-05,	0.029083
0.001,	1.04692,	1046.73,	-465.307,	465.307,	2.90836e-05,	0.0290817
0.0012,	1.25625,	1046.64,	-465.286,	465.286,	3.48996e-05,	0.0290804
0.0014,	1.46556,	1046.55,	-465.266,	465.266,	4.07153e-05,	0.0290791
0.0016,	1.67485,	1046.45,	-465.245,	465.245,	4.65307e-05,	0.0290778
0.0018,	1.88412,	1046.36,	-465.224,	465.224,	5.23459e-05,	0.0290765
0.002,	2.09337,	1046.27,	-465.204,	465.204,	5.81608e-05,	0.0290752
0.0022,	2.30261,	1046.17,	-465.183,	465.183,	6.39754e-05,	0.0290739
0.0024,	2.51182,	1046.08,	-465.162,	465.162,	6.97898e-05,	0.0290726
0.0026,	2.72102,	1045.99,	-465.142,	465.142,	7.5604e-05,	0.0290713
0.0028,	2.9302,	1045.9,	-465.121,	465.121,	8.14178e-05,	0.0290701
0.003,	3.13936,	1045.8,	-465.1,	465.1,	8.72315e-05,	0.0290688
0.0032,	3.3485,	1045.71,	-465.08,	465.08,	9.30448e-05,	0.0290675
0.0034,	3.55762,	1045.62,	-465.059,	465.059,	9.88579e-05,	0.0290662
0.0036,	3.76673,	1045.52,	-465.038,	465.038,	0.000104671,	0.0290649
0.0038,	3.97581,	1045.43,	-465.018,	465.018,	0.000110483,	0.0290636
0.004,	4.18488,	1045.34,	-464.997,	464.997,	0.000116296,	0.0290623
0.0042,	4.39393,	1045.24,	-464.976,	464.976,	0.000122108,	0.029061
0.0044,	4.60296,	1045.15,	-464.955,	464.955,	0.00012792,	0.0290597
0.0046,	4.81197,	1045.06,	-464.935,	464.935,	0.000133731,	0.0290584
0.0048,	5.02097,	1044.96,	-464.914,	464.914,	0.000139542,	0.0290571
0.005,	5.22994,	1044.87,	-464.893,	464.893,	0.000145353,	0.0290558
0.0052,	5.4389,	1044.78,	-464.873,	464.873,	0.000151164,	0.0290545
0.0054,	5.64783,	1044.69,	-464.852,	464.852,	0.000156975,	0.0290532
0.0056,	5.85675,	1044.59,	-464.831,	464.831,	0.000162785,	0.029052
0.0058,	6.06565,	1044.5,	-464.811,	464.811,	0.000168595,	0.0290507
0.006,	6.27453,	1044.41,	-464.79,	464.79,	0.000174405,	0.0290494
0.0062,	6.4834,	1044.31,	-464.769,	464.769,	0.000180214,	0.0290481
0.0064,	6.69224,	1044.22,	-464.749,	464.749,	0.000186023,	0.0290468
0.0066,	6.90106,	1044.13,	-464.728,	464.728,	0.000191832,	0.0290455
0.0068,	7.10987,	1044.04,	-464.707,	464.707,	0.000197641,	0.0290442
0.007,	7.31866,	1043.94,	-464.687,	464.687,	0.00020345,	0.0290429
0.0072,	7.52743,	1043.85,	-464.666,	464.666,	0.000209258,	0.0290416
0.0074,	7.73618,	1043.76,	-464.645,	464.645,	0.000215066,	0.0290403
0.0076,	7.94491,	1043.66,	-464.625,	464.625,	0.000220873,	0.029039
0.0078,	8.15363,	1043.57,	-464.604,	464.604,	0.000226681,	0.0290377
0.008,	8.36232,	1043.48,	-464.583,	464.583,	0.000232488,	0.0290365
0.0082,	8.571,	1043.38,	-464.563,	464.563,	0.000238295,	0.0290352
0.0084,	8.77966,	1043.29,	-464.542,	464.542,	0.000244102,	0.0290339
0.0086,	8.9883,	1043.2,	-464.521,	464.521,	0.000249908,	0.0290326
0.0088,	9.19692,	1043.11,	-464.501,	464.501,	0.000255714,	0.0290313
0.009,	9.40552,	1043.01,	-464.48,	464.48,	0.00026152,	0.02903
0.0092,	9.61411,	1042.92,	-464.459,	464.459,	0.000267326,	0.0290287
0.0094,	9.82267,	1042.83,	-464.439,	464.439,	0.000273131,	0.0290274
0.0096,	10.0312,	1042.73,	-464.418,	464.418,	0.000278936,	0.0290261
0.0098,	10.2397,	1042.64,	-464.397,	464.397,	0.000284741,	0.0290248
0.01,	10.4483,	1042.55,	-464.377,	464.377,	0.000290545,	0.0290235
0.0102,	10.6567,	1042.46,	-464.356,	464.356,	0.00029635,	0.0290223
0.0104,	10.8652,	1042.36,	-464.335,	464.335,	0.000302154,	0.029021
0.0106,	11.0737,	1042.27,	-464.315,	464.315,	0.000307958,	0.0290197
0.0108,	11.2821,	1042.18,	-464.294,	464.294,	0.000313761,	0.0290184
0.011,	11.4905,	1042.08,	-464.273,	464.273,	0.000319564,	0.0290171
0.0112,	11.6989,	1041.99,	-464.253,	464.253,	0.000325367,	0.0290158
0.0114,	11.9073,	1041.9,	-464.232,	464.232,	0.00033117,	0.0290145
0.0116,	12.1157,	1041.81,	-464.211,	464.211,	0.000336973,	0.0290132
0.0118,	12.324,	1041.71,	-464.191,	464.191,	0.000342775,	0.0290119
0.012,	12.5323,	1041.62,	-464.17,	464.17,	0.000348577,	0.0290106
0.0122,	12.7406,	1041.53,	-464.149,	464.149,	0.000354379,	0.0290093
0.0124,	12.9489,	1041.43,	-464.129,	464.129,	0.00036018,	0.029008
0.0126,	13.1572,	1041.34,	-464.108,	464.108,	0.000365981,	0.0290068
0.0128,	13.3654,	1041.25,	-464.087,	464.087,	0.000371782,	0.0290055
0.013,	13.5737,	1041.16,	-464.067,	464.067,	0.000377583,	0.0290042
0.0132,	13.7819,	1041.06,	-464.046,	464.046,	0.000383384,	0.0290029
0.0134,	13.9901,	1040.97,	-464.026,	464.026,	0.000389184,	0.0290016
0.0136,	14.1983,	1040.88,	-464.005,	464.005,	0.000394984,	0.0290003
0.0138,	14.4064,	1040.78,	-463.984,	463.984,	0.000400783,	0.028999
0.014,	14.6146,	1040.69,	-463.964,	463.964,	0.000406583,	0.0289977
0.0142,	14.8227,	1040.6,	-463.943,	463.943,	0.000412382,	0.0289964
0.0144,	15.0308,	1040.51,	-463.922,	463.922,	0.000418181,	0.0289951
0.0146,	15.2389,	1040.41,	-463.902,	463.902,	0.000423979,	0.0289939
0.0148,	15.4469,	1040.32,	-463.881,	463.881,	0.000429778,	0.0289926
0.015,	15.655,	1040.23,	-463.86,	463.86,	0.000435576,	0.0289913
0.0152,	15.863,	1040.14,	-463.84,	463.84,	0.000441374,	0.02899
0.0154,	16.071,	1040.04,	-463.819,	463.819,	0.000447171,	0.0289887
0.0156,	16.279,	1039.95,	-463.798,	463.798,	0.000452969,	0.0289874
0.0158,	16.487,	1039.86,	-463.778,	463.778,	0.000458766,	0.0289861
0.016,	16.6949,	1039.76,	-463.757,	463.757,	0.000464563,	0.0289848
0.0162,	16.9028,	1039.67,	-463.736,	463.736,	0.000470359,	0.0289835
0.0164,	17.1108,	1039.58,	-463.716,	463.716,	0.000476156,	0.0289822
0.0166,	17.3187,	1039.49,	-463.695,	463.695,	0.000481952,	0.0289809
0.0168,	17.5265,	1039.39,	-463.674,	463.674,	0.000487747,	0.0289796
0.017,	17.7344,	1039.3,	-463.654,	463.654,	0.000493543,	0.0289784
0.0172,	17.9422,	1039.21,	-463.633,	463.633,	0.000499338,	0.0289771
0.0174,	18.1501,	1039.11,	-463.612,	463.612,	0.000505133,	0.0289758
0.0176,	18.3579,	1039.02,	-463.592,	463.592,	0.000510928,	0.0289745
0.0178,	18.5657,	1038.93,	-463.571,	463.571,	0.000516723,	0.0289732
0.018,	18.7734,	1038.84,	-463.55,	463.55,	0.000522517,	0.0289719
0.0182,	18.9812,	1038.74,	-463.53,	463.53,	0.000528311,	0.0289706
0.0184,	19.1889,	1038.65,	-463.509,	463.509,	0.000534105,	0.0289693
0.0186,	19.3966,	1038.56,	-463.489,	463.489,	0.000539898,	0.028968
0.0188,	19.6043,	1038.47,	-463.468,	463.468,	0.000545691,	0.0289667
0.019,	19.812,	1038.37,	-463.447,	463.447,	0.000551484,	0.0289655
0.0192,	20.0196,	1038.28,	-463.427,	463.427,	0.000557277,	0.0289642
0.0194,	20.2273,	1038.19,	-463.406,	463.406,	0.000563069,	0.0289629
0.0196,	20.4349,	1038.1,	-463.385,	463.385,	0.000568861,	0.0289616
0.0198,	20.6425,	1038,	-463.365,	463.365,	0.000574654,	0.0289603
0.02,	20.8501,	1037.91,	-463.344,	463.344,	0.000580445,	0.028959
0.0202,	21.0576,	1037.82,	-463.324,	463.324,	0.000586237,	0.0289577
0.0204,	21.2652,	1037.72,	-463.303,	463.303,	0.000592028,	0.0289564
0.0206,	21.4727,	1037.63,	-463.282,	463.282,	0.000597819,	0.0289551
0.0208,	21.6802,	1037.54,	-463.262,	463.262,	0.000603609,	0.0289539
0.021,	21.8877,	1037.45,	-463.241,	463.241,	0.0006094,	0.0289526
0.0212,	22.0952,	1037.35,	-463.22,	463.22,	0.00061519,	0.0289513
0.0214,	22.3026,	1037.26,	-463.2,	463.2,	0.00062098,	0.02895
0.0216,	22.5101,	1037.17,	-463.179,	463.179,	0.000626769,	0.0289487
0.0218,	22.7175,	1037.08,	-463.158,	463.158,	0.000632559,	0.0289474
0.022,	22.9249,	1036.98,	-463.138,	463.138,	0.000638348,	0.0289461
0.0222,	23.1323,	1036.89,	-463.117,	463.117,	0.000644137,	0.0289448
0.0224,	23.3396,	1036.8,	-463.096,	463.096,	0.000649925,	0.0289435
0.0226,	23.547,	1036.71,	-463.076,	463.076,	0.000655713,	0.0289422
0.0228,	23.7543,	1036.61,	-463.055,	463.055,	0.000661501,	0.028941
0.023,	23.9616,	1036.52,	-463.035,	463.035,	0.000667289,	0.0289397
0.0232,	24.1689,	1036.43,	-463.014,	463.014,	0.000673077,	0.0289384
0.0234,	24.3761,	1036.34,	-462.993,	462.993,	0.000678864,	0.0289371
0.0236,	24.5834,	1036.24,	-462.973,	462.973,	0.000684651,	0.0289358
0.0238,	24.7906,	1036.15,	-462.952,	462.952,	0.000690438,	0.0289345
0.024,	24.9978,	1036.06,	-462.931,	462.931,	0.000696224,	0.0289332
0.0242,	25.205,	1035.96,	-462.911,	462.911,	0.000702011,	0.0289319
0.0244,	25.4122,	1035.87,	-462.89,	462.89,	0.000707797,	0.0289306
0.0246,	25.6193,	1035.78,	-462.869,	462.869,	0.000713582,	0.0289293
0.0248,	25.8265,	1035.69,	-462.849,	462.849,	0.000719368,	0.0289281
0.025,	26.0336,	1035.59,	-462.828,	462.828,	0.000725153,	0.0289268
0.0252,	26.2407,	1035.5,	-462.808,	462.808,	0.000730938,	0.0289255
0.0254,	26.4478,	1035.41,	-462.787,	462.787,	0.000736723,	0.0289242
0.0256,	26.6549,	1035.32,	-462.766,	462.766,	0.000742507,	0.0289229
0.0258,	26.8619,	1035.22,	-462.746,	462.746,	0.000748291,	0.0289216
0.026,	27.0689,	1035.13,	-462.725,	462.725,	0.000754075,	0.0289203
0.0262,	27.2759,	1035.04,	-462.705,	462.705,	0.000759859,	0.028919
0.0264,	27.4829,	1034.95,	-462.684,	462.684,	0.000765642,	0.0289177
0.0266,	27.6899,	1034.85,	-462.663,	462.663,	0.000771425,	0.0289165
0.0268,	27.8968,	1034.76,	-462.643,	462.643,	0.000777209,	0.0289152
0.027,	28.1038,	1034.67,	-462.622,	462.622,	0.000782991,	0.0289139
0.0272,	28.3107,	1034.58,	-462.601,	462.601,	0.000788774,	0.0289126
0.0274,	28.5176,	1034.48,	-462.581,	462.581,	0.000794556,	0.0289113
0.0276,	28.7245,	1034.39,	-462.56,	462.56,	0.000800338,	0.02891
0.0278,	28.9313,	1034.3,	-462.54,	462.54,	0.000806119,	0.0289087
0.028,	29.1382,	1034.21,	-462.519,	462.519,	0.0008119,	0.0289074
0.0282,	29.345,	1034.11,	-462.498,	462.498,	0.000817682,	0.0289061
0.0284,	29.5518,	1034.02,	-462.478,	462.478,	0.000823462,	0.0289049
