Time	LOSdot	ZEM	NC	VC
0.0002,	4.8301e-07,	0.1932,	0.00772799,	4000
0.0004,	9.66e-07,	0.386377,	0.0154557,	4000
0.0006,	1.44897e-06,	0.579531,	0.023183,	4000
0.0008,	1.93192e-06,	0.772662,	0.0309101,	4000
0.001,	2.41485e-06,	0.965769,	0.0386369,	4000
0.0012,	2.89777e-06,	1.15885,	0.0463633,	4000
0.0014,	3.38066e-06,	1.35191,	0.0540895,	4000
0.0016,	3.86354e-06,	1.54495,	0.0618153,	4000
0.0018,	4.34639e-06,	1.73797,	0.0695408,	4000
0.002,	4.82923e-06,	1.93096,	0.077266,	4000
0.0022,	5.31204e-06,	2.12393,	0.0849909,	4000
0.0024,	5.79484e-06,	2.31687,	0.0927155,	4000
0.0026,	6.27762e-06,	2.50979,	0.10044,	4000
0.0028,	6.76037e-06,	2.70269,	0.108164,	4000
0.003,	7.24311e-06,	2.89557,	0.115887,	4000
0.0032,	7.72583e-06,	3.08842,	0.123611,	4000
0.0034,	8.20853e-06,	3.28125,	0.131334,	4000
0.0036,	8.69122e-06,	3.47406,	0.139057,	4000
0.0038,	9.17387e-06,	3.66684,	0.146779,	4000
0.004,	9.65652e-06,	3.8596,	0.154501,	4000
0.0042,	1.01391e-05,	4.05234,	0.162223,	4000
0.0044,	1.06217e-05,	4.24505,	0.169944,	4000
0.0046,	1.11043e-05,	4.43774,	0.177666,	4000
0.0048,	1.15869e-05,	4.63041,	0.185386,	4000
0.005,	1.20694e-05,	4.82305,	0.193107,	4000
0.0052,	1.2552e-05,	5.01567,	0.200827,	4000
0.0054,	1.30345e-05,	5.20827,	0.208547,	4000
0.0056,	1.3517e-05,	5.40085,	0.216267,	4000
0.0058,	1.39994e-05,	5.5934,	0.223986,	4000
0.006,	1.44819e-05,	5.78593,	0.231705,	4000
0.0062,	1.49643e-05,	5.97843,	0.239424,	4000
0.0064,	1.54467e-05,	6.17091,	0.247142,	4000
0.0066,	1.59291e-05,	6.36337,	0.254861,	4000
0.0068,	1.64115e-05,	6.55581,	0.262578,	4000
0.007,	1.68938e-05,	6.74822,	0.270296,	4000
0.0072,	1.73762e-05,	6.94061,	0.278013,	4000
0.0074,	1.78585e-05,	7.13298,	0.28573,	4000
0.0076,	1.83408e-05,	7.32532,	0.293446,	4000
0.0078,	1.8823e-05,	7.51764,	0.301163,	4000
0.008,	1.93053e-05,	7.70994,	0.308879,	4000
0.0082,	1.97875e-05,	7.90221,	0.316594,	4000
0.0084,	2.02698e-05,	8.09446,	0.324309,	4000
0.0086,	2.0752e-05,	8.28669,	0.332025,	4000
0.0088,	2.12341e-05,	8.4789,	0.339739,	4000
0.009,	2.17163e-05,	8.67108,	0.347454,	4000
0.0092,	2.21984e-05,	8.86323,	0.355168,	4000
0.0094,	2.26805e-05,	9.05537,	0.362881,	4000
0.0096,	2.31627e-05,	9.24748,	0.370595,	4000
0.0098,	2.36447e-05,	9.43957,	0.378308,	4000
0.01,	2.41268e-05,	9.63164,	0.386021,	4000
0.0102,	2.46088e-05,	9.82368,	0.393734,	4000
0.0104,	2.50909e-05,	10.0157,	0.401446,	4000
0.0106,	2.55729e-05,	10.2077,	0.409158,	4000
0.0108,	2.60548e-05,	10.3997,	0.416869,	4000
0.011,	2.65368e-05,	10.5916,	0.424581,	4000
0.0112,	2.70188e-05,	10.7836,	0.432292,	4000
0.0114,	2.75007e-05,	10.9755,	0.440002,	4000
0.0116,	2.79826e-05,	11.1673,	0.447713,	4000
0.0118,	2.84645e-05,	11.3592,	0.455423,	4000
0.012,	2.89464e-05,	11.551,	0.463133,	4000
0.0122,	2.94282e-05,	11.7428,	0.470842,	4000
