Time	MissNT3	MissNT4	MissNT5	MissVM3	MissVM4	MissVM5
1e-05,	4.82995e-09,	4.82994e-09,	4.82992e-09,	0.0104718,	0.0104718,	0.0104717
0.00021,	2.12958e-06,	2.12943e-06,	2.12928e-06,	0.219842,	0.219819,	0.219796
0.00041,	8.1159e-06,	8.11479e-06,	8.11368e-06,	0.429087,	0.428999,	0.428911
0.00061,	1.79615e-05,	1.79578e-05,	1.79542e-05,	0.638206,	0.638012,	0.637817
0.00081,	3.1664e-05,	3.16554e-05,	3.16469e-05,	0.8472,	0.846857,	0.846514
0.00101,	4.92211e-05,	4.92045e-05,	4.9188e-05,	1.05607,	1.05553,	1.055
0.00121,	7.06305e-05,	7.0602e-05,	7.05736e-05,	1.26481,	1.26405,	1.26328
0.00141,	9.58899e-05,	9.58449e-05,	9.57998e-05,	1.47343,	1.47239,	1.47135
0.00161,	0.000124997,	0.00012493,	0.000124863,	1.68192,	1.68057,	1.67921
0.00181,	0.000157949,	0.000157854,	0.000157759,	1.89029,	1.88858,	1.88687
0.00201,	0.000194745,	0.000194614,	0.000194484,	2.09853,	2.09642,	2.09431
0.00221,	0.000235381,	0.000235208,	0.000235035,	2.30665,	2.3041,	2.30155
0.00241,	0.000279856,	0.000279631,	0.000279406,	2.51464,	2.51161,	2.50858
0.00261,	0.000328167,	0.000327881,	0.000327596,	2.7225,	2.71895,	2.7154
0.00281,	0.000380311,	0.000379955,	0.000379599,	2.93024,	2.92613,	2.92201
0.00301,	0.000436287,	0.00043585,	0.000435412,	3.13786,	3.13314,	3.12842
0.00321,	0.000496093,	0.000495562,	0.000495032,	3.34535,	3.33998,	3.33461
0.00341,	0.000559725,	0.000559089,	0.000558453,	3.55272,	3.54666,	3.5406
0.00361,	0.000627182,	0.000626427,	0.000625673,	3.75996,	3.75317,	3.74639
0.00381,	0.000698461,	0.000697574,	0.000696688,	3.96708,	3.95952,	3.95196
0.00401,	0.00077356,	0.000772526,	0.000771493,	4.17407,	4.16569,	4.15733
0.00421,	0.000852477,	0.000851281,	0.000850086,	4.38094,	4.37171,	4.36249
0.00441,	0.000935209,	0.000933835,	0.000932461,	4.58768,	4.57756,	4.56745
0.00461,	0.00102175,	0.00102018,	0.00101862,	4.7943,	4.78324,	4.7722
0.00481,	0.00111211,	0.00111033,	0.00110855,	5.00079,	4.98876,	4.97674
0.00501,	0.00120628,	0.00120426,	0.00120225,	5.20716,	5.19411,	5.18108
0.00521,	0.00130425,	0.00130198,	0.00129972,	5.41341,	5.39929,	5.3852
0.00541,	0.00140602,	0.00140349,	0.00140095,	5.61953,	5.60432,	5.58913
0.00561,	0.0015116,	0.00150877,	0.00150595,	5.82553,	5.80917,	5.79284
0.00581,	0.00162097,	0.00161784,	0.0016147,	6.0314,	6.01386,	5.99636
0.00601,	0.00173415,	0.00173067,	0.0017272,	6.23715,	6.21839,	6.19966
0.00621,	0.00185111,	0.00184728,	0.00184346,	6.44277,	6.42275,	6.40276
0.00641,	0.00197188,	0.00196766,	0.00196346,	6.64827,	6.62694,	6.60566
0.00661,	0.00209643,	0.00209181,	0.00208719,	6.85365,	6.83097,	6.80834
0.00681,	0.00222476,	0.00221971,	0.00221467,	7.0589,	7.03483,	7.01083
0.00701,	0.00235689,	0.00235138,	0.00234588,	7.26403,	7.23854,	7.21311
0.00721,	0.00249279,	0.0024868,	0.00248082,	7.46903,	7.44207,	7.41518
0.00741,	0.00263248,	0.00262598,	0.00261949,	7.67391,	7.64544,	7.61705
0.00761,	0.00277595,	0.00276891,	0.00276188,	7.87867,	7.84865,	7.81871
0.00781,	0.00292319,	0.00291558,	0.00290799,	8.0833,	8.05169,	8.02017
0.00801,	0.00307421,	0.003066,	0.00305781,	8.28781,	8.25457,	8.22142
0.00821,	0.003229,	0.00322016,	0.00321134,	8.49219,	8.45728,	8.42247
0.00841,	0.00338756,	0.00337806,	0.00336858,	8.69645,	8.65983,	8.62332
0.00861,	0.00354988,	0.0035397,	0.00352953,	8.90059,	8.86222,	8.82396
